（西皮流水板）, 一 杯 酒儿 满满酾   尊 一 声 五 哥 听 明白   你 今 饮 了 杯中 酒   管 叫 你 灵魂 赴 天台
（西皮流水板）, 二 杯 酒儿 杯中酾   小弟 言 来 听 开怀   你 若 饮 了 二 杯 酒   保 你 阴灵 到 蓬莱
（西皮流水板）, 三 杯 酒
（西皮摇板）, 这 句 话儿 真 爽快   叫 咬金 把 酒 斟上来
（西皮摇板）, 满 营 将官 俱 都 在   为何 不 见 栋梁材   问 一 声 秦 二 哥 今 何在
（西皮摇板）, 二哥押 粮 未 回来
（西皮摇板）, 哭 一 声 秦 二哥
（西皮摇板）, 贾家楼
（二黄散板）, 这 几 日 为 小姐 出阁 期 到   阖府 中上 与 下 昼夜 奔劳
（二黄散板）, 这 也 是 娇 养儿 天生性傲   全 不 念 老娘 亲 生养 劬劳   为 一 个 锁麟囊 东颠西跑
（二黄散板）, 又 听得 众 伙伴 呼叫声 高
（二黄散板）, 与 你等 急速 归 件件 回报
（二黄散板）, 怕 小姐 不 称心 枉走 徒劳
（二黄散板）, 闻 一言不由 我 珠 泪 双 掉   为什么 不 称心 又 把 头 摇   为人 奴 怎 敢 把 忠言 相告
（二黄散板）, 又 听得 老薛良 哭声 嚎啕
（西皮摇板）, 薄命人 岂敢 怨穷 居 陋巷   为 出聘 累 我 父 终日 奔忙   可怜 他 父母 心 去 借 银两
（西皮摇板）, 见 此情 倒 叫我 费尽 思量
（西皮摇板）, 我 的 儿 性情好 宽心 话 讲   嫁女儿 无 妆奁 怎 拜 花 堂
（西皮摇板）, 自古 道人 贫穷 谁 肯 来往   想 当日 得意 时 铁 也 增光   如今 人 喜 的 是 添 花 锦 上   老 爹爹 岂 不 知 世态 炎凉
（西皮散板）, 劝 爹爹 休 发 那 无名 火爆   无故地 闲 争吵 却 也 无聊   家 贫穷 遭 白眼 被 人 嘲笑   我 父女 志不穷 忍耐 这 遭
（西皮二六板）, 春秋 亭 外 风雨暴   何处 悲 声 破 寂寥   隔帘 只 见 一 花轿   想必 是 新婚渡 鹊桥   吉日 良辰 当 欢笑   为什么 鲛珠化 泪抛   此时 却 又 明白 了
（西皮快板）, 世上 哪 有 尽 富豪   也 有 饥寒 悲 怀抱   也 有 失意 痛哭 嚎啕   轿内 的 人儿 弹别调   必有 隐情 在 心潮
（西皮散板）, 推开 轿帘 向外 瞧   聘女 之 家 是 富豪   只 恐怕 我 过门 也 遭 嘲笑   那时候 老 爹爹 又 要 心焦
（西皮流水板）, 耳听 得 悲 声 惨 心中 如 捣   同路人 为什么 这样 嚎啕   莫不是 夫郎丑难谐 女貌   莫不是 强 婚配 鸦占鸾巢   叫 梅香 你 把 那 好言 相告   问 那 厢因 何故 痛哭 无聊
（西皮流水板）, 梅香 说话 好 颠倒   蠢才 胡言乱 解嘲   怜 贫 济困 是 正道   哪 有 那 袖手旁观 在 壁上 瞧
（西皮流水板）, 梅香 说话 太 潦草   难免 怀疑 在心梢   想必 是 人前逞 骄傲   不 该 词 费 又 滔滔   休要噪
（西皮流水板）, 听 薛良 一 语 来 相告   满腹 骄矜 顿 雪消   人情 冷暖 非 天 造   何 不 移动 半 分毫   我 今 不足 她 正 少   她 为 饥寒 我 为娇   分 我 一 只 珊瑚 宝   安 她 半世 凤凰巢   忙 把 梅香 低声 叫
（西皮流水板）, 莫 把 姓名 信口 晓
（西皮流水板）, 这 都 是 神话 凭空 造   自 把 珠 玉夸 富豪   麟儿 哪 有 神 送到   积德 才 生玉 树苗   小小 囊儿 何足道   慰 她 饥渴 胜 琼瑶
（西皮摇板）, 送亲 已 毕回家 转   见 了 夫人 说 根源
（数板）, 不 好了
（西皮摇板）, 欣逢 这 日 晴和 回家 望 看
（西皮摇板）, 哪有 千 金发 任 你 摘玩
（西皮摇板）, 我 与 你 买 竹马 小试 庭院
（西皮摇板）, 这 是 我 疼爱 他 娇纵 千 端
（西皮原板）, 新婚 后 不 觉得 光阴似箭   驻 青春 依旧 是 玉貌 朱颜   携 娇儿 坐车 中 长街 游遍
（西皮散板）, 又 听得 呼号 声 动地惊天   却 为何 众 百姓 纷纷 逃窜   见 此景倒 叫我 胆战心寒   叫 车夫 改 程途 忙 往 回转
（西皮摇板）, 真 乃 大 祸从天降   洪水 成灾 好 惨伤   贤妻 娇儿 把 命
（西皮摇板）, 奉劝 公子 莫 悲伤
（西皮摇板）, 这样 大水 不 料想   万贯家财 付 汪洋
（西皮摇板）, 女儿 生死难 料想   怎 不 教人 泪 汪汪
（西皮散板）, 一霎时 又 来到 一 个 世界
（西皮散板）, 叫 梅香唤院 公 为何 不来
（西皮散板）, 腹内 饥唤 郎君 他 他 也不在
（西皮散板）, 却 为何 到 荒郊 不见 亭台
（西皮散板）, 恍惚 间 与 众人 同 把 舟载   莫不是 应验 了 无情 的 水灾   老娘 亲 她 必定 波 中 遇害   苦命 的 大器 儿 鱼腹 葬埋
（西皮散板）, 见 胡婆 好 一 似 空山闻籁   你 可曾 见 我 夫 与 我 萱台
（西皮散板）, 听他 言 把 我 的 肝肠 痛坏   你 送 我 回 故乡 寻找 尸骸
（西皮散板）, 一席话 惊得 我 如梦 方解
（西皮散板）, 看见 了 年迈 人 想起 萱台
（二黄慢板）, 一 霎时 把 七 情 俱 已 磨尽   参 到 了 酸辛处 泪 湿 衣襟
（二黄散板）, 蓦地 里 见 此 囊 依旧 还 认
（二黄散板）, 分明 是 出阁 日 娘 赠 的 锁麟   今朝 见 此 囊 莫非 梦境   我 怎敢 把 此 事 细 追寻   手托囊思 往事 珠 泪 难忍
（二黄散板）, 大胆 薛妈乱 胡行
（西皮原板）, 那 一 日 风光 好 忽然 转变
（西皮原板）, 霎时 间日 色淡 似 坠 西山
（西皮原板）, 在 轿中 只 觉得 天昏地暗   耳边厢
（西皮原板）, 那 花轿 必定 是 因陋就简   隔帘儿 我 也 曾 侧目 偷 观   虽然 是 古青庐 以 朴为俭   哪 有 这 短 花帘
（西皮原板）, 轿中人 必定 有 一 腔 幽怨   她 泪自弹
（西皮原板）, 那时 节 奴 妆奁 不下 百万   怎奈 我 在 轿中 赤手空拳
（西皮原板）, 急切 里 想起 了 锁麟囊 一 件   囊虽小 却 能 作 积命 泉源
（西皮流水板）, 有 金珠 和 珍宝 光华 灿烂   红 珊瑚 碧 翡翠 样样 俱全   还有 那 夜明珠 粒粒 成串   还有 那 赤金 练
（西皮摇板）, 那 女子 心性洁 世俗 不 染   留下 了 锁麟囊 把 珠宝 退还
（西皮摇板）, 听 她 言 不由 我 心中 暗转   果然 是 当年 知己 到 此间
（西皮二六板）, 换 珠衫 依旧 是 当年 容样   莫不是 心头幻 我 身在 梦乡
（西皮二六板）, 猛抬 头 见 老娘 笑脸 相向   儿 的 娘   问 一 声 老娘 来自 何方
（西皮二六板）, 这 才 是 脱 危难 吉人天相
（西皮二六板）, 我 的 儿呀   见 我 儿 不由 我 喜笑 非常   老天爷 他 还 我 珠归 掌上
（西皮二六板）, 见 官人 倒 叫 我 无限 仓惶
（西皮二六板）, 一霎时 触情肠 感怀 万状
（西皮二六板）, 我 官人 怎知 我 历尽 沧桑   到 此 事 真 教 我 有话 难 讲
（西皮摇板）, 想 当年 赠 人物 岂望 报偿   老娘 亲 与 官人 要 明 以往   问 一 声 卢 娘子 便 知 端详
（西皮摇板）, 都 只为 感知 己 实在 难忘   六 年 前 薛娘子 赠 我 麟囊
（西皮快板）, 休 将 往事 存 心上   为人 心地 须 善良   得 知己
（西皮摇板）, 听 她 言 不由 我 心中 暗转   果然 是 大恩人 来到 此间
（西皮摇板）, 适才 奉 了 太爷命   要到 府中 去 投 文
（西皮摇板）, 迈开 大步 往前 进   去 到 学中 说 分明
（西皮原板）, 兄弟们 在 家中 开怀 畅饮   叫 一 声 二 贤弟 细 听 分明   家中 事 还 要 你 一一 照应
（西皮摇板）, 又 只见 二 伙 友 来到 家门
（西皮摇板）, 酒 不 醉 人人 自醉   色 不 迷人人 自迷
（西皮摇板）, 今日 好比 七月七
（西皮摇板）, 牛郎 织女 会 佳期
（二黄摇板）, 骂声 奴才 太 猖狂   儿 不 该 临阵 使 花枪   不 是 为 父 的 功劳 大   险些 一 命丧 无常   叫人 来 与爷 推出 斩
（二黄摇板）, 放转 奴才 问 端详
（二黄摇板）, 不 是 花枪 来 抵挡   险些 一 命丧 无常
（二黄摇板）, 听罢言 来 问 其详   险些 错 把 爱子 伤
（二黄摇板）, 他 自己 击破 护心镜   要害 孩儿 命 残生
（二黄原板）, 听罢言 来 查 其情   险些 错伤小姣生
（西皮导板）, 叫 三军 与 爷战 鼓起
（西皮原板）, 大睁虎目 观 端的   高 怀 亮 打扮 世 无比   赛 得 过 临潼 伍子胥   赛韦驮 缺少 降 魔杵   赛 吕布 缺少 画 杆戟
（西皮快板）, 为 父命 里 该 四 子   惟有 冤家 我 心喜   杨 家 花枪 教 与 你   只要 儿 眼尖 手快 躲得疾
（西皮散板）, 五 王 七 侯 行兵 到   不由 老夫 喜 眉梢
（西皮散板）, 有 人 再 提 为 父老   准备 项 上 吃 一 刀   怀 亮 杀 开 千 条 道   父子们 杀 一 个 浪里蛟
（西皮摇板）, 听说 来 的 石守能   无名 贼 子 也 出兵
（西皮摇板）, 听说 来的 高延平   险些 错伤儿 的 命 残生
（西皮快板）, 孤 王闷坐 中 军帐   探马 不 住 报 端详   五 王 七 侯 打 败仗   一 个个 败阵 回 营房   催 马来 在 阵 头上   又 见 老将 到 战场
（内西皮导板）, 连 杀 四 营 无敌 将
（西皮快板）, 不知 昏王 在 哪厢   阵前 闪出 一 员 将   他 的 打扮 非 寻常   头戴 金盔 明珠亮   五 绺 胡须 飘 胸膛   打扮 好似 关公样   缺少 关 平和 周仓
（西皮快板）, 在 哪里 会 过 这 员 将   阵前 难 坏 火山 王
（西皮快板）, 曾 记得 当年 保 刘王   认得 冤家 赵玄郎   尔是玄郎 是 不 是   通上 名 来 在 某 的 刀下亡
（西皮快板）, 勒住 丝缰 把 他 望   老将 打扮 非 寻常   头戴 银盔 明珠亮   身穿 铠甲 似雪霜   跨 下 一 骑 白 龙马   手 中 钢刀 放 毫光   在 哪里 会 过 这 员 将   阵前 难 坏 赵玄郎
（西皮快板）, 记得 当年 刺 刘王   认得 老儿 火山王   午门 之外 打 一 仗   慌 不 慌 来 忙 不 忙   若 不 是 老将 开恩 放   十 个 玄郎 死 五 双   你 若 问 我 的 名 和 姓   少 游 关西 赵玄郎
（西皮摇板）, 听说 来 的 赵匡胤   杨 滚打 马 随后 跟
（西皮摇板）, 粉红 马驼 的 赵匡胤
（西皮摇板）, 白 龙马驼 的 老 寿星
（西皮摇板）, 铜 金刚 遇着 铁 罗汉
（西皮摇板）, 冤家 遇着 对 头人   按住 宝刀 用 锤打
（西皮快板）, 火光 照 得 两 眼 花   人 说 赵 家 有 天下   莫非 应在 这 冤家   翻身 离镫 下 了 马
（西皮快板）, 老杨 滚 屈膝 降顺 他
（西皮导板）, 铜锤 打下 如雷 炸
（西皮快板）, 打 得 孤王膀背 麻   猛然 睁开 昏花眼
（西皮快板）, 只 见 老将 跪 马 下   你 既 将 孤 打 下马   缘何 不 将 孤 来 拿
（西皮快板）, 尊 一 声 主 公休 骇怕   老 杨滚保 你 坐 中华
（西皮快板）, 你 既 保 孤 坐 中华   何 不 对 天 把 誓发
（西皮快板）, 吾 主 命 我 把 誓发   日月 三光 照着 咱   杨滚保主 如 有假   死 在 千军万马 踏
（西皮快板）, 一 见 老将 把 誓盟   不由 孤 王 笑 盈盈   孤王日后 登 九五   封 你 的 王位 在朝 门
（西皮快板）, 封 他 的 王位 不 谢恩   想 是 老将 要 证凭   在 腰中 解下 紫金 带   赐与 老将 做 证凭
（西皮散板）, 铜锤 调换 带 一 根   赐臣 封赠 谢龙恩   尊 一 声 主公 驾请 起   杨 家 今日 投宋君
（西皮导板）, 三军 与 爷把 战鼓 操
（西皮快板）, 马前 只 见 一 英豪   杨 家 世代 把 国保   因何 落草 占 山巢   劝 你 马前 归顺 了   封妻荫子 永 在朝
（西皮摇板）, 杨 家 威名 谁 不 晓   世代 忠良 保 宋朝   今日 奸佞 正 当道   只 恐 后来 无下梢
（西皮摇板）, 小将 助阵 犯 军纪   岳家 威名 也 是 虚   一 怒 拨 马 回 营地   且听 探马 报端 的
（西皮摇板）, 责打 岳云消俺气   岳飞 英雄 数 第一   众将 暂 把 营 门闭   明日 阵前 见高低
（二黄原板）, 清晨 起 打 一 仗 龙争虎斗   胜 不过 杨 再 兴 脸 带 含羞   岳云儿 犯 将令 理应 斩首   却 不过 众将 官 苦苦 哀求   责打 了 四十 棍 血流 甲胄   愧煞 我 统兵 帅 无 有 良谋   叫人 来 你 与爷 小心 防守
（二黄散板）, 收服 了 杨再兴方 展 眉头
（二黄散板）, 猛 想起 周侗 师 教授 “ 撒手 ”   为 国家 求 良将 费尽 计谋   但愿 得 明日 里 大功 成就
（二黄散板）, 收服 了 杨 再 兴 好 灭 金酋
（二黄导板）, 为 军情 终夜 里 枕 戈待漏
（二黄散板）, 猛然间 又 只 见 红日 当头
（西皮二六板）, 与 妹妹 对坐 在 秀阁   听 为 兄 把 话 对 你 说   将 新人 暂 寄 你 房 内   我 探病 回来 好 快乐
（西皮二六板）, 哥哥 讲 说理 不通   听 妹妹 把 话 说 心中   每日 抢掳 民间 女   有 妹妹 不管 闲 事情
（西皮二六板）, 一 见 妹妹 她 不从   倒 叫 我 背过 身 好 不 伤情   走上 前来 双膝 跪   叫 妹妹 从下 这 事情
（西皮二六板）, 一 见 哥哥 跪楼枰   背 转身 来 思想 情   走上 前来 快 搀起   妹妹 从下 这 事情
（西皮慢板）, 未开 言 不 由人 泪流满面   点点 的 珠泪 洒落 胸前   五月 节 起 了 那 葡萄 大会   我 母女 一同 到 庙 前   你 哥哥 他 见 我 容貌 好   他 一 心 霸占 奴 要 结 良缘
（西皮慢板）, 嫂嫂 对 我 讲 一 遍   思想 起来 恼 心间
（西皮原板）, 在 洞房 穿 红衫头 有 顶戴   把 一 个 女孩儿 扮做 秀才
（西皮原板）, 咱 二 人 手 搀手 同 上 金阶   我 这里 替 哥哥 来 把 堂 拜
（西皮原板）, 作 一 对 好 夫妻 永 不分开
（西皮原板）, 今夜 晚 我 与 你 来 把 堂 拜
（西皮原板）, 咱 二 人 全 都 是 女中 裙钗
（西皮原板）, 你 哥哥 去 探病 今晚 不在
（西皮原板）, 女孩 家 无 本 不 难 做 买卖
（西皮快板）, 今夜 晚 我 与 她 上床 安眠   怕 只 怕 上床 去 洩 了 机关   我 这里 藏 过 了 镔铁 宝剑   管 叫 她 一 家 命归 黄泉
（西皮快板）, 一见 将军 变了 脸   他 是 男子 变 作女   将军 留下 奴 不 死   我 情愿 与 将军 配成 婚
（西皮快板）, 一 拜 泰山 为 媒 证
（西皮快板）, 二 祗 黄河 就 澄清
（西皮快板）, 泰山 已 倒 人 还在
（西皮快板）, 黄河 一 去 影 无信
（西皮快板）, 恨 平王 无道 贪色 酒   父 纳 子 妻 礼 不周   我 父谏 奏 反 斩首   一 家 满门 刀割 头   这样 的 冤仇 怎 撒手   不 杀 平王 誓不 休
（西皮快板）, 仁兄 不 必 两 泪 流   小弟 言 来 听 从头   相国 夫人 遭 毒手   定 是 奸贼 用 计谋   得 放手
（西皮快板）, 贤弟 把 话 错 出口   愚兄 言 来 听 从头   君 不 正
（西皮快板）, 仁兄 已经 把 誓咒   小弟 不 敢 来 强留   你 若是 兴兵 来 伐楚   临潼 的 名儿 枉空留   仁兄 打 马 你 阳关 走   急忙 快 奔吴 国投
（西皮快板）, 申包胥 与 我 把 志斗   背 转身 来 反 加愁   贤弟 请 上 兄 叩首
（西皮快板）, 多谢 你 放 我 往 东流   你 兴楚来 我 灭楚   你 为 忠来 我 为 仇   辞别 贤弟 跨 走兽
（西皮摇板）, 扬鞭 打 马往 吴国投
（西皮快板）, 一 见 仁兄 跨 走兽   大小 三军 听从头   尔等 回朝 休 泄漏   泄漏 机关 斩 人头   人 来 与 爷带 走兽
（西皮散板）, 回朝 把 本 奏 龙 楼
（内西皮导板）, 兴王 霸业 成炎汉
（西皮摇板）, 谁知 今日 不 周全   忙将 人马 来 催趱   逃出 虎穴 与 龙潭
（西皮原板）, 刘备马 上自 思叹   弟兄 结义 在 桃园   大破 黄巾兵 百万   至今 未 得 一 日 闲   离 了 新野 心惊战   如今 方知 后悔 难
（西皮原板）, 刘 祖先 早 把 阴灵显
（西皮原板）, 思前 容易 后悔难
（西皮摇板）, 耳旁 听 得 人马喧
（西皮摇板）, 如同 剑林 与 刀山
（西皮摇板）, 你 且 快把 威风 展
（西皮摇板）, 当阳 桥 前 等 你 还
（西皮摇板）, 车夫 与 俺 忙 前趱
（西皮摇板）, 单人 独 骑 破曹瞒
（西皮摇板）, 来 在 曹营身 被困
（西皮摇板）, 看来 今日 难 逃生
（西皮摇板）, 唤声 赵云 今 何在
（西皮摇板）, 单人 独 骑 往前 奔
（西皮摇板）, 催 马扬鞭 往前 奔
（西皮摇板）, 四下 找寻 主母身
（西皮摇板）, 杀出 一 层 又 一 层   赵云 的 精神 倍 加增   勒住 丝缰 用 目睁
（西皮摇板）, 内面 可 有主 母身
（西皮摇板）, 适才 贼 子 放 雕翎   身带 重伤 步 难行   叫声 赵云 今 何在
（西皮摇板）, 来 了 常山 赵子龙   独 闯 曹营显 本领   耳旁 忽闻 妇人声   翻鞍 离 蹬下 能行
（西皮摇板）, 只 见 赵云 面前 存
（西皮摇板）, 将军 果然 忠心耿   保扶 此 子 去 逃生   阿斗 付与 将军 手
（西皮摇板）, 接过 了 刘 门后 代 根   主母 快快 上 金镫   待臣 步 战 退 贼兵
（西皮摇板）, 将军 且 莫 再 留停   哪里 黄土 不 埋 人
（西皮摇板）, 悲凄凄 站 至 枯井 上
（西皮摇板）, 不如 一 命丧 无常
（西皮摇板）, 一 见 主 母投 古井   唬得 赵云胆 战 惊
（西皮摇板）, 催命 鼓 来 救命 锣   三 国 不和 动干戈
（西皮摇板）, 自幼 生来 本领 高   抖擞 威风 立功 劳
（内西皮导板）, 统领 雄兵 百万 将
（西皮快板）, 追杀 刘备 虎 赶 羊   三军 带路 景 山上
（西皮快板）, 看看 谁 弱 和 谁 强
（西皮摇板）, 山岗 之下 那 员将   白盔 白 甲 白银 枪   抖擞 威风 天神样
（数板）, 老迈 年 苍苍
（数板）, 好酒 贪花
（西皮摇板）, 画阁 雕梁绛霄楼   金碧辉煌 似 瀛洲   龙 楼 凤 阁 如 锦绣   富贵 属于 公伯 王侯
（西皮摇板）, 晋国 江山 升平 奏   君臣 安享 乐 无忧   得 饮酒 来 且 饮酒
（西皮摇板）, 又 见 空中 鸟 当头   开弓 弹 打 飞鸟 落
（西皮摇板）, 只 恐 为 臣 逊 一筹
（西皮散板）, 背 柴草 到 街头 去 把 粮换
（西皮散板）, 这 一 弹 定 打中 背草 的 老 年
（西皮散板）, 众 百姓 好 一 似 飞鸟 落网
（西皮散板）, 打得 他 头破血流 叫 爹娘
（西皮散板）, 见 他们 男 和 女乱碰 乱撞
（西皮散板）, 好 一 似 深山 中 迷途 羔羊
（西皮散板）, 叫 内侍 快 献上 御羹 熊掌
（西皮散板）, 忙将 御羹 献 大王
（西皮摇板）, 晋侯 做事 太 凶狠   弹 打 无辜 众 黎民   怒气 满 胸 难 消恨
（西皮摇板）, 见 了 相国 诉冤 情
（西皮摇板）, 幞头 冠 整 将 朝 衣   五 云 深 处 奏 丹墀   军民 为念 忧 国事
（西皮摇板）, 父老 为何 泪 悲啼
（西皮摇板）, 街头巷尾 民磋怨   都 道 大王 信 谗奸   日久 恐要 激成 大变
（西皮摇板）, 拜见 相国 问 金安
（西皮摇板）, 可怜 无辜 死 得 惨   轻视 人命 如 草菅   国家 安危 在 一旦
（同西皮摇板）, 定 是 那 屠岸 贾献媚 进谗
（西皮摇板）, 外忧 未定 内生 患   权奸 不 除 国 不安
（同西皮摇板）, 大王 阻谏 把 宫门掩
（西皮摇板）, 立求 面奏 叩宫环
（西皮摇板）, 这 才 是 君 昏 臣 心窘   贪 娱 阻谏 闭 深宫   一 片 丹心 终 何用
（西皮摇板）, 闭 桃园 挡圣驾力 谏灵公
（内西皮导板）, 夏日 长 艳阳天 百花争艳
（西皮原板）, 绛霄楼 饮 琼浆 观览 市廛   听 笙歌 赏 午曲 百 遍 不厌   理 朝 事 整 江山 好 不 耐烦   到 桃园 与 嫔妃 大摆 筵宴
（西皮原板）, 桃园 门紧 关闭 所 为 哪般
（内西皮导板）, 秉圭 当胸 幞头 冠 整
（西皮原板）, 启园 门谏 圣主 拼死 捐 生
（西皮原板）, 几 道 表章 未 见 恩准
（西皮原板）, 圣驾离 朝 事 何 因
（西皮原板）, 寡人 宫中心 烦闷
（西皮原板）, 绛霄 楼上 饮杯巡
（西皮原板）, 惶恐 顿首
（西皮流水板）, 臣 告秉   谏奏主 上 是 非要 辨清   有道 之 君 民乐 于 天下   无道 之 君 以 乐 己身   曲直 力 谏臣节 之 本   舜造 漆器 谏者 有 十 人   小事 不 谏成 大事   望祈主 上 悔过 自新   休 听 那 撺掇 佞臣 巧 言论   就 请 御驾 转回 朝门
（西皮流水板）, 绛霄 楼上 宠奸佞   不 该 弹 打 无辜 之 人   任意 宫中 草菅 人命   民为邦本 本 固 邦宁   为 臣 我 怎 比 夏桀
（西皮流水板）, 屠岸 贾谗 言乱 朝政   我 与 你 分 个 谁 是 清来 谁 是浑   你 要 把 晋国 来 吞并   以 酒 为 池 肉 为 林   有朝 马 死 黄金尽   万剐 凌迟 是 佞臣   今朝 不 报 来 日报   远在 儿孙 近在身
（西皮流水板）, 非 是 臣弄舌 抗 君 命   只为 奸贼 他 玩法 欺君   外邦 俱 道 我 国 德政   国家 危亡 俱在 他 一 个 人   伏望 圣上 纳臣 谏本   臣 纵 埋 沟渠 死 犹 生
（西皮散板）, 急 水 滩头 难 流月   钢刀 不 杀 无罪 的 人   竟敢 与 我 来厮挺
（西皮散板）, 欺压 他 如同 轻慢 寡人
（二黄散板）, 老 爹爹 为 国事 深夜 不倦   年迈 人 怎 经 得 秋末 风寒
（二黄原板）, 朝臣 待 漏 五 更 寒   铁甲 将军 夜渡关   我 朝中 出 了 屠贼奸患   民不聊生 历 日 艰难   为 父 的 报国心 青天 可鉴   昼夜 忧思 睡 不 成眠
（二黄原板）, 那 程婴性 忠义 颇 有 远见   儿与 他 多 亲近 同苦 共 甘   国 与 家儿 必须 时刻 防患
（二黄原板）, 为 父 的 言语 谨记 心间
（二黄原板）, 孩儿 我 遵 父命 怎敢 怠慢
（二黄原板）, 见 此情 好 叫我 犹豫 不安   莫非 是 屠 大人 将 我 来骗   俺鉏麂 到 如今 进退两难   且 不 可妄 杀人 急忙 回转
（二黄原板）, 既 到 此 我 怎 能 空手 而 还   受人 托 休得 要 中途 改变   到 此时 覆水难收 箭 已 上弦
（二黄原板）, 赵 相国 你 一 死 休 把 我怨
（二黄原板）, 见 刺客 撇刀 搭躬 面带 羞惭   这 一 壮士 你 叫 什么 名字
（二黄散板）, 不甘 屈辱 刚强 汉   自 知己 过 恨 前言愆   我 本 当 留 他 作 证见   谁 知 他 触槐死
（二黄散板）, 急忙 驾车 进 朝 班
（二黄平板）, 称 佳酿
（二黄平板）, 我 自 离家 走 他乡   碌碌 风尘 空 茫茫   父母 家中 倚门 望   不由 我 凄凄 惨惨 意 彷徨
（二黄平板）, 劝 大哥
（二黄摇板）, 你 往日 虚名终 何用
（二黄摇板）, 只 怪 我 时 乖 命运 低
（二黄摇板）, 自古 男子 早 立志   百 岁 光阴 能 几时
（二黄平板）, 且 放 怀
（二黄摇板）, 苦煞 俺 双双 老 椿萱   可怜 你 身单 孤 影衰 时暮   爹娘 吓   但 不 知 可能 够 重见 尊颜   哏
（数板）, 打道 上 获盗 捕强
（西皮摇板）, 他 那里 气昂昂 把 令 传下   唬得 我 战 兢兢 魂飞 天涯   为什么 题 反 诗 令 人 害怕   好 叫我 无 主张 怎么 拿 他
（西皮慢板）, 每 日 里 闷 沉沉 愁眉 难 展   到 此间 受尽 了 许多 凄寒   路途 上 相遇 了 英雄 好汉   都 叫我 上 梁山 霸占 一 方   我 本 是 男儿 汉 英雄 志量   岂 做 那 无义 的 犯法 儿郎   大 不 该 杀 惜姣 自投罗网   离别 了 二双亲 已 在 高堂   可怜 你 无 倚靠 倚门 叹望   提起 来 悲切切 好不惨伤
（西皮摇板）, 公堂 上 领爷 命事 急 如 忙   倒 叫 我 这 件 事 怎生 主张
（西皮导板）, 忽然间 被 他人 一言 说破
（西皮摇板）, 唬得 我 战 兢兢 两 眼 泪落   我 叫 一 声 贤弟 吓
（西皮摇板）, 只 见 他 哭得 我 心如刀割   就是 那 铁石 人 魂飞 魄落   千 不 是 万 不 是 是 你 之 错   酒醉 后 发狂言 自招 其祸   任凭 你 浑身 口 难以 分说   急得 我 肝肠 断无计 奈何   怎 能够 离 虎穴 跳出 罗网   纵 有 那 擎天 手 不 能 逃脱
（西皮摇板）, 料想 你 不 能够 搭救 与 我
（西皮摇板）, 倒不如 丧九泉 免受 折磨
（西皮摇板）, 劝 大哥 暂 消停 且 慢 结果   我 和 你好 和歹 再 做 定夺
（西皮摇板）, 诈骗 他 也 不过 假装 疯魔   急得 他 难 中 人 无 有 下落   怕 只 怕 狭路 上 冤家 难 躲
（西皮摇板）, 那 一 厢 又 来 了 催命 阎罗
（内西皮导板）, 没 奈何 顾不得腌 臜 龌龊
（西皮摇板）, 战 兢兢 止 不 住 牙根 落   看 你们 一 个 个把 冷眼 观 我   推 的 推拉 的 拉 却 是 为何
（西皮摇板）, 任 这厮 发狂 言 大胆 无礼   公堂 上 岂容 他 没有 高低   叫人 来 快 与 我 责打 四十   为什么 浔阳楼 自 题反诗
（西皮摇板）, 见 两 旁 一 个个 狼 威虎势   论 国法 怎 叫 我 吃 这样 东西   他 那里 把 宋江 这般 羞耻
（西皮摇板）, 恨不得嚼尔肉剥尔之皮
（西皮摇板）, 哪有 你 全不知 纲常 伦理   你 犯了 萧何律 插翅 难飞   好 一 似 扑 灯蛾 自 投火死
（西皮摇板）, 霎时间 管 叫 你 碎 骨 分尸
（西皮导板）, 气昂昂 双眉 皱 怒 眼生花
（西皮摇板）, 急得 我 肝肠 断 咬碎 银 牙
（西皮导板）, 你 看 我 鲜血淋 实难 招架
（西皮摇板）, 横 身上 止 不 住 活活 痛杀   还望 你 施 恻隐 速速 救咱
（西皮摇板）, 如 不然 命 难 保定 染 黄沙
（西皮摇板）, 多感 你 施 恻隐 如 天 还 大   只 念 我 离乡 井 住宿 无家
（西皮摇板）, 听 宋江囚 监禁 令 人 着恼   他 如今 遭 罗网 怎生 脱逃
（西皮摇板）, 慢 踌躇 我 和 你 再 作 商议   必须 要 早 准备 事不宜迟
（西紧摇板）, 离 江州 好 一 似 兔走鸟飞   只 为 那 及时雨 百般孤凄   望 二 兄 众 英雄 同心 合意   发 人马 到 江州 免 他 悲啼
（西皮摇板）, 戴 贤弟 你 那里 休要 着急
（西皮摇板）, 探 虎穴 入 龙潭 见 个 高低
（西皮摇板）, 叫 贤弟 你 请 上 受 我 一 礼   为 我 事 朝夕 里 费尽心机
（西皮摇板）, 劝 大哥 休 流泪 且 免 悲啼   皆 因 是 酒醉 后 自觉 不 知   我 为 你 上 梁山 也 非 容易   无 昼夜卧 荒丘 奔走 风驰   晁大哥 吴 先生 疏 财 仗义   只 等 那 祸 临头 自然 救提   且 忍耐 放宽 心 牢牢 谨记
（西皮摇板）, 到 来日 决雌雄 却 有 谁知
（西皮摇板）, 戴 贤弟 果 算得 英雄 豪杰   早 烧 香 晚点 灯 报恩 不及
（西皮摇板）, 见 书信 不由人 浑身 战抖   这 其间 漏 机关 有 死 无休
（西皮摇板）, 叫人 来 快 与 我 重重 责究
